2026-07-19T13:39:48+00:00 START ham-random-perm_thr cpu=3 attempt=1
ham-rs perm_thr 26000/100000 best=0.566688s eval=21470 elapsed=565.4s
ham-rs perm_thr 26250/100000 best=0.566688s eval=21470 elapsed=570.9s
ham-rs perm_thr 26500/100000 best=0.566688s eval=21470 elapsed=576.3s
ham-rs perm_thr 26750/100000 best=0.566688s eval=21470 elapsed=581.9s
ham-rs perm_thr 27000/100000 best=0.566688s eval=21470 elapsed=587.5s
ham-rs perm_thr 27250/100000 best=0.566688s eval=21470 elapsed=592.9s
ham-rs perm_thr 27500/100000 best=0.566688s eval=21470 elapsed=598.3s
ham-rs perm_thr 27750/100000 best=0.566688s eval=21470 elapsed=603.9s
ham-rs perm_thr 28000/100000 best=0.566688s eval=21470 elapsed=609.4s
ham-rs perm_thr 28250/100000 best=0.566688s eval=21470 elapsed=614.6s
ham-rs perm_thr 28500/100000 best=0.566688s eval=21470 elapsed=620.2s
ham-rs perm_thr 28750/100000 best=0.566688s eval=21470 elapsed=625.8s
ham-rs perm_thr 29000/100000 best=0.566688s eval=21470 elapsed=631.0s
ham-rs perm_thr 29250/100000 best=0.566688s eval=21470 elapsed=636.2s
ham-rs perm_thr 29500/100000 best=0.566688s eval=21470 elapsed=641.8s
ham-rs perm_thr 29750/100000 best=0.566688s eval=21470 elapsed=647.2s
ham-rs perm_thr 30000/100000 best=0.566688s eval=21470 elapsed=652.7s
ham-rs perm_thr 30250/100000 best=0.566688s eval=21470 elapsed=658.2s
ham-rs perm_thr 30500/100000 best=0.566688s eval=21470 elapsed=663.7s
ham-rs perm_thr 30750/100000 best=0.566688s eval=21470 elapsed=669.0s
ham-rs perm_thr 31000/100000 best=0.566688s eval=21470 elapsed=674.6s
ham-rs perm_thr 31250/100000 best=0.566688s eval=21470 elapsed=679.7s
ham-rs perm_thr 31500/100000 best=0.566688s eval=21470 elapsed=685.3s
ham-rs perm_thr 31750/100000 best=0.566688s eval=21470 elapsed=690.8s
ham-rs perm_thr 32000/100000 best=0.566688s eval=21470 elapsed=696.0s
ham-rs perm_thr 32250/100000 best=0.566688s eval=21470 elapsed=701.7s
ham-rs perm_thr 32500/100000 best=0.566688s eval=21470 elapsed=707.1s
ham-rs perm_thr 32750/100000 best=0.566688s eval=21470 elapsed=712.5s
ham-rs perm_thr 33000/100000 best=0.566688s eval=21470 elapsed=717.7s
ham-rs perm_thr 33250/100000 best=0.566688s eval=21470 elapsed=723.1s
ham-rs perm_thr 33500/100000 best=0.566688s eval=21470 elapsed=728.6s
ham-rs perm_thr 33750/100000 best=0.566688s eval=21470 elapsed=733.9s
ham-rs perm_thr 34000/100000 best=0.566688s eval=21470 elapsed=739.3s
ham-rs perm_thr 34250/100000 best=0.566688s eval=21470 elapsed=745.0s
ham-rs perm_thr 34500/100000 best=0.566688s eval=21470 elapsed=750.6s
ham-rs perm_thr 34750/100000 best=0.566688s eval=21470 elapsed=756.0s
ham-rs perm_thr 35000/100000 best=0.566688s eval=21470 elapsed=761.3s
ham-rs perm_thr 35250/100000 best=0.566688s eval=21470 elapsed=766.9s
ham-rs perm_thr 35500/100000 best=0.566688s eval=21470 elapsed=772.3s
ham-rs perm_thr 35750/100000 best=0.566688s eval=21470 elapsed=777.8s
ham-rs perm_thr 36000/100000 best=0.566688s eval=21470 elapsed=783.7s
ham-rs perm_thr 36250/100000 best=0.566688s eval=21470 elapsed=789.2s
ham-rs perm_thr 36500/100000 best=0.566688s eval=21470 elapsed=794.6s
ham-rs perm_thr 36750/100000 best=0.566688s eval=21470 elapsed=800.2s
ham-rs perm_thr 37000/100000 best=0.566688s eval=21470 elapsed=805.6s
ham-rs perm_thr 37250/100000 best=0.566688s eval=21470 elapsed=810.9s
ham-rs perm_thr 37500/100000 best=0.566688s eval=21470 elapsed=816.5s
ham-rs perm_thr 37750/100000 best=0.566688s eval=21470 elapsed=822.2s
ham-rs perm_thr 38000/100000 best=0.566688s eval=21470 elapsed=827.7s
ham-rs perm_thr 38250/100000 best=0.566688s eval=21470 elapsed=832.9s
ham-rs perm_thr 38500/100000 best=0.566688s eval=21470 elapsed=838.2s
ham-rs perm_thr 38750/100000 best=0.566688s eval=21470 elapsed=843.8s
ham-rs perm_thr 39000/100000 best=0.566688s eval=21470 elapsed=849.2s
ham-rs perm_thr 39250/100000 best=0.566688s eval=21470 elapsed=854.9s
ham-rs perm_thr 39500/100000 best=0.566688s eval=21470 elapsed=860.5s
ham-rs perm_thr 39750/100000 best=0.566688s eval=21470 elapsed=865.9s
ham-rs perm_thr 40000/100000 best=0.566688s eval=21470 elapsed=871.1s
ham-rs perm_thr 40250/100000 best=0.566688s eval=21470 elapsed=876.6s
ham-rs perm_thr 40500/100000 best=0.566688s eval=21470 elapsed=881.8s
ham-rs perm_thr 40750/100000 best=0.566688s eval=21470 elapsed=887.3s
ham-rs perm_thr 41000/100000 best=0.566688s eval=21470 elapsed=892.6s
ham-rs perm_thr 41250/100000 best=0.566688s eval=21470 elapsed=898.1s
ham-rs perm_thr 41500/100000 best=0.566688s eval=21470 elapsed=903.6s
ham-rs perm_thr 41750/100000 best=0.566688s eval=21470 elapsed=909.2s
ham-rs perm_thr 42000/100000 best=0.566688s eval=21470 elapsed=914.7s
ham-rs perm_thr 42250/100000 best=0.566688s eval=21470 elapsed=920.1s
ham-rs perm_thr 42500/100000 best=0.566688s eval=21470 elapsed=925.5s
ham-rs perm_thr 42750/100000 best=0.566688s eval=21470 elapsed=931.0s
