2026-07-19T10:28:51+00:00 START npfs8-control cpu=1 attempt=1
npfs8 27300/100000 best=0.573758s eval=24526 elapsed=1103.6s
npfs8 27400/100000 best=0.573758s eval=24526 elapsed=1107.4s
npfs8 27500/100000 best=0.573758s eval=24526 elapsed=1111.8s
npfs8 27600/100000 best=0.573758s eval=24526 elapsed=1115.5s
npfs8 27700/100000 best=0.573758s eval=24526 elapsed=1119.4s
npfs8 27800/100000 best=0.573758s eval=24526 elapsed=1123.9s
npfs8 27900/100000 best=0.573758s eval=24526 elapsed=1127.4s
npfs8 28000/100000 best=0.573758s eval=24526 elapsed=1131.3s
npfs8 28100/100000 best=0.573758s eval=24526 elapsed=1135.1s
npfs8 28200/100000 best=0.573758s eval=24526 elapsed=1139.1s
npfs8 28300/100000 best=0.573758s eval=24526 elapsed=1143.5s
npfs8 28400/100000 best=0.573758s eval=24526 elapsed=1148.3s
npfs8 28500/100000 best=0.573758s eval=24526 elapsed=1151.8s
npfs8 28600/100000 best=0.573758s eval=24526 elapsed=1156.5s
npfs8 28700/100000 best=0.573758s eval=24526 elapsed=1160.3s
npfs8 28800/100000 best=0.573758s eval=24526 elapsed=1163.8s
npfs8 28900/100000 best=0.573758s eval=24526 elapsed=1167.7s
npfs8 29000/100000 best=0.573758s eval=24526 elapsed=1172.1s
npfs8 29100/100000 best=0.573758s eval=24526 elapsed=1176.0s
npfs8 29200/100000 best=0.573758s eval=24526 elapsed=1180.5s
npfs8 29300/100000 best=0.573758s eval=24526 elapsed=1185.3s
npfs8 29400/100000 best=0.573758s eval=24526 elapsed=1189.6s
npfs8 29500/100000 best=0.573758s eval=24526 elapsed=1193.6s
npfs8 29600/100000 best=0.573758s eval=24526 elapsed=1197.6s
npfs8 29700/100000 best=0.573758s eval=24526 elapsed=1201.0s
npfs8 29800/100000 best=0.573758s eval=24526 elapsed=1204.9s
npfs8 29900/100000 best=0.573758s eval=24526 elapsed=1209.4s
npfs8 30000/100000 best=0.573758s eval=24526 elapsed=1214.0s
npfs8 30100/100000 best=0.573758s eval=24526 elapsed=1217.8s
npfs8 30200/100000 best=0.573758s eval=24526 elapsed=1221.4s
npfs8 30300/100000 best=0.573758s eval=24526 elapsed=1225.2s
npfs8 30400/100000 best=0.573758s eval=24526 elapsed=1230.1s
npfs8 30500/100000 best=0.573758s eval=24526 elapsed=1234.0s
npfs8 30600/100000 best=0.573758s eval=24526 elapsed=1238.5s
npfs8 30700/100000 best=0.573758s eval=24526 elapsed=1242.5s
npfs8 30800/100000 best=0.573758s eval=24526 elapsed=1247.4s
npfs8 30900/100000 best=0.573758s eval=24526 elapsed=1251.5s
npfs8 31000/100000 best=0.573758s eval=24526 elapsed=1255.5s
npfs8 31100/100000 best=0.573758s eval=24526 elapsed=1260.6s
npfs8 31200/100000 best=0.573758s eval=24526 elapsed=1264.8s
npfs8 31300/100000 best=0.573758s eval=24526 elapsed=1268.8s
npfs8 31400/100000 best=0.573758s eval=24526 elapsed=1272.5s
npfs8 31500/100000 best=0.573758s eval=24526 elapsed=1277.2s
npfs8 31600/100000 best=0.573758s eval=24526 elapsed=1281.5s
npfs8 31700/100000 best=0.573758s eval=24526 elapsed=1285.0s
npfs8 31800/100000 best=0.573758s eval=24526 elapsed=1289.6s
npfs8 31900/100000 best=0.573758s eval=24526 elapsed=1292.7s
npfs8 32000/100000 best=0.573758s eval=24526 elapsed=1296.9s
npfs8 32100/100000 best=0.573758s eval=24526 elapsed=1300.8s
npfs8 32200/100000 best=0.573758s eval=24526 elapsed=1304.7s
