tsp-rs shard=7 evaluated=6050 next=48400/100000 best=0.439456s eval=44231 elapsed=688.8s
tsp-rs shard=7 evaluated=6100 next=48800/100000 best=0.439456s eval=44231 elapsed=694.1s
tsp-rs shard=7 evaluated=6150 next=49200/100000 best=0.439456s eval=44231 elapsed=697.8s
tsp-rs shard=7 evaluated=6200 next=49600/100000 best=0.439456s eval=44231 elapsed=701.1s
tsp-rs shard=7 evaluated=6250 next=50000/100000 best=0.439456s eval=44231 elapsed=705.1s
tsp-rs shard=7 evaluated=6300 next=50400/100000 best=0.439456s eval=44231 elapsed=709.1s
tsp-rs shard=7 evaluated=6350 next=50800/100000 best=0.439456s eval=44231 elapsed=712.9s
tsp-rs shard=7 evaluated=6400 next=51200/100000 best=0.439456s eval=44231 elapsed=726.0s
tsp-rs shard=7 evaluated=6450 next=51600/100000 best=0.439456s eval=44231 elapsed=733.4s
tsp-rs shard=7 evaluated=6500 next=52000/100000 best=0.439456s eval=44231 elapsed=743.8s
tsp-rs shard=7 evaluated=6550 next=52400/100000 best=0.439456s eval=44231 elapsed=747.3s
tsp-rs shard=7 evaluated=6600 next=52800/100000 best=0.439456s eval=44231 elapsed=754.4s
tsp-rs shard=7 evaluated=6650 next=53200/100000 best=0.465224s eval=52959 elapsed=773.9s
tsp-rs shard=7 evaluated=6700 next=53600/100000 best=0.465224s eval=52959 elapsed=778.1s
tsp-rs shard=7 evaluated=6750 next=54000/100000 best=0.465224s eval=52959 elapsed=782.2s
tsp-rs shard=7 evaluated=6800 next=54400/100000 best=0.465224s eval=52959 elapsed=787.1s
tsp-rs shard=7 evaluated=6850 next=54800/100000 best=0.465224s eval=52959 elapsed=791.1s
tsp-rs shard=7 evaluated=6900 next=55200/100000 best=0.465224s eval=52959 elapsed=805.6s
tsp-rs shard=7 evaluated=6950 next=55600/100000 best=0.465224s eval=52959 elapsed=818.5s
tsp-rs shard=7 evaluated=7000 next=56000/100000 best=0.465224s eval=52959 elapsed=831.2s
tsp-rs shard=7 evaluated=7050 next=56400/100000 best=0.465224s eval=52959 elapsed=835.6s
tsp-rs shard=7 evaluated=7100 next=56800/100000 best=0.465224s eval=52959 elapsed=840.7s
tsp-rs shard=7 evaluated=7150 next=57200/100000 best=0.465224s eval=52959 elapsed=845.7s
tsp-rs shard=7 evaluated=7200 next=57600/100000 best=0.465224s eval=52959 elapsed=851.0s
tsp-rs shard=7 evaluated=7250 next=58000/100000 best=0.465224s eval=52959 elapsed=861.5s
tsp-rs shard=7 evaluated=7300 next=58400/100000 best=0.465224s eval=52959 elapsed=873.5s
tsp-rs shard=7 evaluated=7350 next=58800/100000 best=0.465224s eval=52959 elapsed=877.5s
tsp-rs shard=7 evaluated=7400 next=59200/100000 best=0.465224s eval=52959 elapsed=891.9s
tsp-rs shard=7 evaluated=7450 next=59600/100000 best=0.465224s eval=52959 elapsed=897.5s
tsp-rs shard=7 evaluated=7500 next=60000/100000 best=0.465224s eval=52959 elapsed=903.2s
tsp-rs shard=7 evaluated=7550 next=60400/100000 best=0.465224s eval=52959 elapsed=907.9s
tsp-rs shard=7 evaluated=7600 next=60800/100000 best=0.465224s eval=52959 elapsed=914.0s
tsp-rs shard=7 evaluated=7650 next=61200/100000 best=0.465224s eval=52959 elapsed=917.8s
tsp-rs shard=7 evaluated=7700 next=61600/100000 best=0.465224s eval=52959 elapsed=920.6s
tsp-rs shard=7 evaluated=7750 next=62000/100000 best=0.465224s eval=52959 elapsed=926.6s
tsp-rs shard=7 evaluated=7800 next=62400/100000 best=0.465224s eval=52959 elapsed=930.8s
tsp-rs shard=7 evaluated=7850 next=62800/100000 best=0.465224s eval=52959 elapsed=936.7s
tsp-rs shard=7 evaluated=7900 next=63200/100000 best=0.465224s eval=52959 elapsed=940.1s
tsp-rs shard=7 evaluated=7950 next=63600/100000 best=0.465224s eval=52959 elapsed=945.3s
tsp-rs shard=7 evaluated=8000 next=64000/100000 best=0.465224s eval=52959 elapsed=949.9s
tsp-rs shard=7 evaluated=8050 next=64400/100000 best=0.465224s eval=52959 elapsed=957.7s
tsp-rs shard=7 evaluated=8100 next=64800/100000 best=0.465224s eval=52959 elapsed=963.0s
tsp-rs shard=7 evaluated=8150 next=65200/100000 best=0.465224s eval=52959 elapsed=966.9s
tsp-rs shard=7 evaluated=8200 next=65600/100000 best=0.465224s eval=52959 elapsed=971.9s
tsp-rs shard=7 evaluated=8250 next=66000/100000 best=0.465224s eval=52959 elapsed=975.8s
tsp-rs shard=7 evaluated=8300 next=66400/100000 best=0.465224s eval=52959 elapsed=979.6s
tsp-rs shard=7 evaluated=8350 next=66800/100000 best=0.465224s eval=52959 elapsed=988.0s
tsp-rs shard=7 evaluated=8400 next=67200/100000 best=0.465224s eval=52959 elapsed=992.8s
tsp-rs shard=7 evaluated=8450 next=67600/100000 best=0.465224s eval=52959 elapsed=998.5s
tsp-rs shard=7 evaluated=8500 next=68000/100000 best=0.465224s eval=52959 elapsed=1005.0s
tsp-rs shard=7 evaluated=8550 next=68400/100000 best=0.465224s eval=52959 elapsed=1009.0s
tsp-rs shard=7 evaluated=8600 next=68800/100000 best=0.465224s eval=52959 elapsed=1012.2s
tsp-rs shard=7 evaluated=8650 next=69200/100000 best=0.465224s eval=52959 elapsed=1016.2s
tsp-rs shard=7 evaluated=8700 next=69600/100000 best=0.465224s eval=52959 elapsed=1019.7s
